category,type,question,wikipedia_url
Quantum Field Theory,definition,What is the path integral formulation in QFT?,https://en.wikipedia.org/wiki/Path_integral_formulation
Quantum Field Theory,definition,What is the renormalization group in QFT?,https://en.wikipedia.org/wiki/Renormalization_group
Quantum Field Theory,definition,What is gauge symmetry in QFT?,https://en.wikipedia.org/wiki/Gauge_theory
Quantum Field Theory,definition,What is spontaneous symmetry breaking in QFT?,https://en.wikipedia.org/wiki/Spontaneous_symmetry_breaking
Quantum Field Theory,definition,What is the Feynman propagator in QFT?,https://en.wikipedia.org/wiki/Propagator
Statistics,definition,What is a sufficient statistic?,https://en.wikipedia.org/wiki/Sufficient_statistic
Statistics,definition,What is the central limit theorem?,https://en.wikipedia.org/wiki/Central_limit_theorem
Statistics,definition,What is the maximum likelihood estimator (MLE)?,https://en.wikipedia.org/wiki/Maximum_likelihood_estimation
Statistics,definition,What is a confidence interval?,https://en.wikipedia.org/wiki/Confidence_interval
Statistics,definition,What is a p-value?,https://en.wikipedia.org/wiki/P-value
Statistical Learning,definition,What is VC dimension?,https://en.wikipedia.org/wiki/Vapnik%E2%80%93Chervonenkis_dimension
Statistical Learning,definition,What is empirical risk minimization (ERM)?,https://en.wikipedia.org/wiki/Empirical_risk_minimization
Statistical Learning,definition,What is structural risk minimization (SRM)?,https://en.wikipedia.org/wiki/Structural_risk_minimization
Statistical Learning,definition,What is the kernel trick?,https://en.wikipedia.org/wiki/Kernel_method
Statistical Learning,definition,What is the biasâ€“variance tradeoff?,https://en.wikipedia.org/wiki/Bias%E2%80%93variance_tradeoff
Humanities,definition,What is hermeneutics?,https://en.wikipedia.org/wiki/Hermeneutics
Humanities,definition,What is semiotics?,https://en.wikipedia.org/wiki/Semiotics
Humanities,definition,What is historiography?,https://en.wikipedia.org/wiki/Historiography
Humanities,definition,What is deconstruction?,https://en.wikipedia.org/wiki/Deconstruction
Humanities,definition,What is cultural relativism?,https://en.wikipedia.org/wiki/Cultural_relativism
Everyday,everyday,How to delete Facebook account?,
Everyday,everyday,How to delete Instagram account?,
Everyday,everyday,How to screenshot on Mac?,
Everyday,everyday,How to screenshot on Windows?,
Everyday,everyday,How to tie a tie?,
Everyday,everyday,How long to boil eggs?,
Everyday,everyday,How to calculate percentage?,
Everyday,everyday,How to lose weight fast?,
Everyday,everyday,How to lower blood pressure?,
Everyday,everyday,How to make money online?,
